租金,room_size,室,卫,厅,天然气,空调,独卫,飘窗,阳台,district_name,price_y,最近地铁距离,1500内地铁口,最近公交站距离,500内公交站数量,最近银行距离,1000内银行数量,最近影院距离,1000内影院数量,最近餐饮距离,700内餐饮数量,500内超市数量,1000内公园数量,最近菜市场距离,1000内菜市场数量
950,10,3,1,1,0,0,0,1,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
1000,14,3,1,1,0,0,0,1,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
630,9,3,1,1,0,0,0,1,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
1000,13,3,1,1,0,0,0,1,0,锦江区,19596,1815.524965,琉璃场,40.90858564,5,925.004883,1,526.874234,1,61.76786822,20,13,20,229.1484611,3
855,13,4,1,1,0,0,0,1,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
700,8,4,1,1,0,0,0,0,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
805,15,4,1,1,0,0,0,0,1,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
900,15,4,1,1,0,0,0,1,0,成华区,21190,899.8791419,前锋路 李家沱,289.9251975,5,686.2362975,1,715.4253411,1,32.52680239,20,14,20,308.6252337,3
800,12,3,1,1,0,0,0,1,0,高新区,15442,1119.822946,世纪城 锦城广场,107.8985453,3,662.6066368,2,1204.497041,1,79.79956882,20,5,5,1709.702001,1
710,10,3,1,1,0,0,0,1,0,高新区,15442,1119.822946,世纪城 锦城广场,107.8985453,3,662.6066368,2,1204.497041,1,79.79956882,20,5,5,1709.702001,1
